Source;Target;Label;Weight;Type
134;1501;12;0.083333333;undirected
134;1706;7;0.142857143;undirected
134;1090;9;0.111111111;undirected
134;1975;11;0.090909091;undirected
135;1333;13;0.076923077;undirected
135;2196;6;0.166666667;undirected
135;2534;11;0.090909091;undirected
135;1847;8;0.125;undirected
135;2097;3;0.333333333;undirected
135;2535;7;0.142857143;undirected
136;2536;7;0.142857143;undirected
136;2537;11;0.090909091;undirected
136;1969;6;0.166666667;undirected
136;2093;10;0.1;undirected
136;2085;13;0.076923077;undirected
136;2538;13;0.076923077;undirected
137;1053;12;0.083333333;undirected
137;1105;11;0.090909091;undirected
137;2539;5;0.2;undirected
137;2540;7;0.142857143;undirected
137;2198;6;0.166666667;undirected
137;2541;13;0.076923077;undirected
138;2542;7;0.142857143;undirected
138;1205;11;0.090909091;undirected
138;1474;10;0.1;undirected
138;2543;12;0.083333333;undirected
138;2544;7;0.142857143;undirected
138;1746;7;0.142857143;undirected
139;1599;10;0.1;undirected
139;1644;10;0.1;undirected
139;2545;5;0.2;undirected
139;1922;8;0.125;undirected
139;2546;9;0.111111111;undirected
139;1988;8;0.125;undirected
140;2547;14;0.071428571;undirected
140;2189;4;0.25;undirected
140;1711;7;0.142857143;undirected
140;1478;6;0.166666667;undirected
140;2548;10;0.1;undirected
140;1938;7;0.142857143;undirected
142;2549;8;0.125;undirected
142;1091;5;0.2;undirected
142;2550;10;0.1;undirected
142;2551;6;0.166666667;undirected
142;2552;8;0.125;undirected
142;2553;16;0.0625;undirected
143;2554;8;0.125;undirected
143;1273;7;0.142857143;undirected
143;2555;15;0.066666667;undirected
143;1471;11;0.090909091;undirected
143;2556;13;0.076923077;undirected
143;2557;5;0.2;undirected
144;2558;7;0.142857143;undirected
144;2559;11;0.090909091;undirected
144;1312;8;0.125;undirected
144;1121;10;0.1;undirected
144;2560;5;0.2;undirected
144;2561;4;0.25;undirected
145;2562;7;0.142857143;undirected
145;2563;7;0.142857143;undirected
145;2564;13;0.076923077;undirected
145;2565;5;0.2;undirected
145;2566;6;0.166666667;undirected
145;1044;13;0.076923077;undirected
147;1171;14;0.071428571;undirected
147;1389;9;0.111111111;undirected
147;1375;8;0.125;undirected
147;1782;10;0.1;undirected
147;1454;7;0.142857143;undirected
147;1705;8;0.125;undirected
148;2567;9;0.111111111;undirected
148;1378;8;0.125;undirected
148;2568;6;0.166666667;undirected
148;1441;11;0.090909091;undirected
148;1410;3;0.333333333;undirected
148;1740;8;0.125;undirected
149;2569;5;0.2;undirected
149;2570;6;0.166666667;undirected
149;2571;5;0.2;undirected
149;2572;11;0.090909091;undirected
149;2573;12;0.083333333;undirected
149;1050;2;0.5;undirected
150;2574;7;0.142857143;undirected
150;2575;6;0.166666667;undirected
150;2576;7;0.142857143;undirected
150;2577;12;0.083333333;undirected
150;1805;2;0.5;undirected
150;2578;9;0.111111111;undirected
151;2579;14;0.071428571;undirected
151;2580;12;0.083333333;undirected
151;1652;12;0.083333333;undirected
151;2581;7;0.142857143;undirected
151;1942;12;0.083333333;undirected
151;1460;4;0.25;undirected
152;2582;4;0.25;undirected
152;2583;4;0.25;undirected
152;1056;9;0.111111111;undirected
152;1700;4;0.25;undirected
152;1025;10;0.1;undirected
152;1732;7;0.142857143;undirected
153;1023;11;0.090909091;undirected
153;2584;7;0.142857143;undirected
153;1670;6;0.166666667;undirected
153;2585;12;0.083333333;undirected
153;2586;6;0.166666667;undirected
153;2180;11;0.090909091;undirected
154;2587;2;0.5;undirected
154;2588;11;0.090909091;undirected
154;2589;11;0.090909091;undirected
154;2590;8;0.125;undirected
154;2195;12;0.083333333;undirected
154;2591;11;0.090909091;undirected
155;2592;9;0.111111111;undirected
155;2031;11;0.090909091;undirected
155;1073;8;0.125;undirected
155;1499;7;0.142857143;undirected
155;1088;3;0.333333333;undirected
155;2593;8;0.125;undirected
156;2594;6;0.166666667;undirected
156;2595;4;0.25;undirected
156;2596;9;0.111111111;undirected
156;1495;6;0.166666667;undirected
156;2597;11;0.090909091;undirected
156;2598;7;0.142857143;undirected
157;1078;7;0.142857143;undirected
157;1539;7;0.142857143;undirected
157;2086;6;0.166666667;undirected
157;2599;8;0.125;undirected
157;1058;5;0.2;undirected
157;2600;9;0.111111111;undirected
158;2601;12;0.083333333;undirected
158;2602;4;0.25;undirected
158;1443;9;0.111111111;undirected
158;1057;11;0.090909091;undirected
158;1108;13;0.076923077;undirected
158;1683;6;0.166666667;undirected
163;1397;7;0.142857143;undirected
163;1081;8;0.125;undirected
163;1810;11;0.090909091;undirected
163;2127;3;0.333333333;undirected
163;1677;10;0.1;undirected
163;2603;4;0.25;undirected
164;1494;6;0.166666667;undirected
164;1099;7;0.142857143;undirected
164;2042;11;0.090909091;undirected
164;2604;6;0.166666667;undirected
164;2050;14;0.071428571;undirected
164;2605;13;0.076923077;undirected
165;2606;9;0.111111111;undirected
165;2607;9;0.111111111;undirected
165;2608;10;0.1;undirected
165;1200;9;0.111111111;undirected
165;2609;6;0.166666667;undirected
165;2610;9;0.111111111;undirected
166;2611;14;0.071428571;undirected
166;2612;7;0.142857143;undirected
166;2613;13;0.076923077;undirected
166;2614;8;0.125;undirected
166;2615;12;0.083333333;undirected
166;1394;10;0.1;undirected
167;2616;5;0.2;undirected
167;1660;10;0.1;undirected
167;2617;9;0.111111111;undirected
167;2618;7;0.142857143;undirected
167;2619;9;0.111111111;undirected
167;2620;6;0.166666667;undirected
169;2621;7;0.142857143;undirected
169;2622;1;1;undirected
169;2623;10;0.1;undirected
169;2624;3;0.333333333;undirected
169;2625;4;0.25;undirected
169;1096;8;0.125;undirected
170;2626;10;0.1;undirected
170;1638;6;0.166666667;undirected
170;1821;8;0.125;undirected
170;1092;8;0.125;undirected
170;1293;10;0.1;undirected
170;1571;6;0.166666667;undirected
172;2627;11;0.090909091;undirected
172;2628;9;0.111111111;undirected
172;2629;6;0.166666667;undirected
172;2630;11;0.090909091;undirected
172;1047;11;0.090909091;undirected
172;2631;9;0.111111111;undirected
173;1309;7;0.142857143;undirected
173;1565;10;0.1;undirected
173;1508;10;0.1;undirected
173;1237;5;0.2;undirected
173;1919;13;0.076923077;undirected
173;1658;10;0.1;undirected
174;2088;7;0.142857143;undirected
174;2632;5;0.2;undirected
174;1888;10;0.1;undirected
174;1116;8;0.125;undirected
174;2142;12;0.083333333;undirected
174;2121;8;0.125;undirected
175;2099;8;0.125;undirected
175;2149;12;0.083333333;undirected
